Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
"Judgment of the Court of 7 July 1992. # The Queen v Immigration Appeal Tribunal and Surinder Singh, ex parte Secretary of State for Home Department. # Reference for a preliminary ruling: High Court of Justice, Queen's Bench Division - United Kingdom. # Freedom of movement for persons - Right of residence of the spouse of a national of a Member State who returns to establish himself in his country of origin. # Case C-370/90.",61990CJ0370,,,,,ECLI:EU:C:1992:296,"Right of establishment, Freedom to provide services, Free movement of workers",,7/7/1992,Court of Justice,,European Court Reports 1992 I-04265
"Judgment of the Court of 7 July 1992. # The Queen v Secretary of State for Social Security, ex parte Equal Opportunities Commission. # Reference for a preliminary ruling: High Court of Justice, Queen's Bench Division - United Kingdom. # Directive 79/7/EEE - Equal treatment for men and women - Contribution periods. # Case C-9/91.",61991CJ0009,,,,,ECLI:EU:C:1992:297,Social Policy,,7/7/1992,Court of Justice,,European Court Reports 1992 I-04297
Judgment of the Court of 7 July 1992. # European Parliament v Council of the European Communities. # Directive 90/366/EEC on the right of residence for students - Legal basis - Prerogatives of the European Parliament. # Case C-295/90.,61990CJ0295,,,,,ECLI:EU:C:1992:294,Free movement of workers,,7/7/1992,Court of Justice,,European Court Reports 1992 I-04193
Judgment of the Court of 7 July 1992. # Mario Vicente Micheletti and others v Delegación del Gobierno en Cantabria. # Reference for a preliminary ruling: Tribunal Superior de Justicia de Cantabria - Spain. # Freedom of establishment - Persons eligible - Dual nationality. # Case C-369/90.,61990CJ0369,,,,,ECLI:EU:C:1992:295,Right of establishment,,7/7/1992,Court of Justice,,European Court Reports 1992 I-04239
Summary of the Judgment,61991CJ0009_SUM,,,,,,,,7/7/1992,Court of Justice,,
Summary of the Judgment,61990CJ0370_SUM,,,,,,,,7/7/1992,Court of Justice,,
Summary of the Judgment,61990CJ0295_SUM,,,,,,,,7/7/1992,Court of Justice,,
Summary of the Judgment,61990CJ0369_SUM,,,,,,,,7/7/1992,Court of Justice,,
Summary of the Judgment,61991CJ0028_SUM,,,,,,,,7/1/1992,Court of Justice,,
"Judgment of the Court (Fourth Chamber) of 1 July 1992. # Helmut Haneberg GmbH & Co. KG v Bundesanstalt für landwirtschaftliche Marktordnung. # Reference for a preliminary ruling: Verwaltungsgericht Frankfurt am Main - Germany. # Common agricultural policy - Special aid measures for peas, field beans and sweet lupins. # Case C-28/91.",61991CJ0028,,,,,ECLI:EU:C:1992:285,"Peas and field beans, Agriculture and Fisheries",,7/1/1992,Court of Justice,,European Court Reports 1992 I-04165
Judgment of the Court of 30 June 1992. # Kingdom of Spain v Commission of the European Communities. # Action for annulment - State aid - Letter initiating the procedure under Article 93 (2) - Actionable measure. # Case C-312/90.,61990CJ0312,,,,,ECLI:EU:C:1992:282,"State aids, Competition",,6/30/1992,Court of Justice,,European Court Reports 1992 I-04117
Summary of the Judgment,61990CJ0312_SUM,,,,,,,,6/30/1992,Court of Justice,,
Summary of the Judgment,61991CJ0047_SUM,,,,,,,,6/30/1992,Court of Justice,,
Judgment of the Court of 30 June 1992. # Italian Republic v Commission of the European Communities. # Action for annulment - State aid - Letter initiating the procedure under Article 93 (2) - Actionable measure. # Case C-47/91.,61991CJ0047,,,,,ECLI:EU:C:1992:284,"State aids, Competition",,6/30/1992,Court of Justice,,European Court Reports 1992 I-04145
Judgment of the Court (Second Chamber) of 25 June 1992. # Licensing Authority South Eastern Traffic Area v British Gas plc. # Reference for a preliminary ruling: Petersfield Magistrates' Court - United Kingdom. # Social provisions in the transport sector - Vehicles used in connection with the gas service. # Case C-116/91.,61991CJ0116,,,,,ECLI:EU:C:1992:277,"Social Policy, Transport",,6/25/1992,Court of Justice,,European Court Reports 1992 I-04071
Judgment of the Court (Fourth Chamber) of 25 June 1992. # Federazione Italiana dei Consorzi Agrari v Azienda di Stato per gli Interventi nel Mercato Agricolo. # Reference for a preliminary ruling: Corte d'appello di Roma - Italy. # Determination of the value of a quantity of lampante virgin olive oil stolen from an intervention warehouse where it was in storage. # Case C-88/91.,61991CJ0088,,,,,ECLI:EU:C:1992:276,"Oils and fats, Agriculture and Fisheries",,6/25/1992,Court of Justice,,European Court Reports 1992 I-04035
Summary of the Judgment,61991CJ0116_SUM,,,,,,,,6/25/1992,Court of Justice,,
Summary of the Judgment,61991CJ0147_SUM,,,,,,,,6/25/1992,Court of Justice,,
Summary of the Judgment,61991CJ0088_SUM,,,,,,,,6/25/1992,Court of Justice,,
Judgment of the Court (Second Chamber) of 25 June 1992. # Criminal proceedings against Michele Ferrer Laderer. # Reference for a preliminary ruling: Juzgado de lo Penal n. 4 de Alicante - Spain. # Freedom of establishment - Estate agent - Professional qualifications. # Case C-147/91.,61991CJ0147,,,,,ECLI:EU:C:1992:278,"Freedom to provide services, Right of establishment",,6/25/1992,Court of Justice,,European Court Reports 1992 I-04097
Judgment of the Court of 24 June 1992. # Commission of the European Communities v Hellenic Republic. # Articles 5 and 30 of the EEC Treaty - Obligation to provide information. # Case C-137/91.,61991CJ0137,,,,,ECLI:EU:C:1992:272,"Free movement of goods, Quantitative restrictions, Measures having equivalent effect",,6/24/1992,Court of Justice,,European Court Reports 1992 I-04023
Summary of the Judgment,61991CJ0137_SUM,,,,,,,,6/24/1992,Court of Justice,,
Summary of the Judgment,61991CJ0018_SUM,,,,,,,,6/19/1992,Court of Justice,,
Judgment of the Court (Fourth Chamber) of 19 June 1992. # V v European Parliament. # Appeal - Officials - Member of the temporary staff - Conditions for invalidity - Invalidity Committee. # Case C-18/91 P.,61991CJ0018,,,,,ECLI:EU:C:1992:269,Staff regulations and employment conditions - EC,,6/19/1992,Court of Justice,,European Court Reports 1992 I-03997
Judgment of the Court of 17 June 1992. # Jakob Handte & Co. GmbH v Traitements Mécano-chimiques des Surfaces SA. # Reference for a preliminary ruling: Cour de cassation - France. # Brussels Convention - Interpretation of Article 5 (1) - Jurisdiction in matters relating to a contract - Chain of contracts - Action to establish liability brought by a sub-buyer of goods against the manufacturer. # Case C-26/91.,61991CJ0026,,,,,ECLI:EU:C:1992:268,"Brussels Convention of 27 September 1968 - Jurisdiction, Brussels Convention of 27 September 1968",,6/17/1992,Court of Justice,,European Court Reports 1992 I-03967
Summary of the Judgment,61991CJ0026_SUM,,,,,,,,6/17/1992,Court of Justice,,
Summary of the Judgment,61990CJ0351_SUM,,,,,,,,6/16/1992,Court of Justice,,
"Judgment of the Court of 16 June 1992. # Commission of the European Communities v Grand Duchy of Luxembourg. # Failure of a Member State to fulfil its obligations - Freedom of establishment - Access to the professions of doctor, dentist and veterinary surgeon. # Case C-351/90.",61990CJ0351,,,,,ECLI:EU:C:1992:266,"Right of establishment, Free movement of workers",,6/16/1992,Court of Justice,,European Court Reports 1992 I-03945
Judgment of the Court (Sixth Chamber) of 11 June 1992. # Extramet Industrie SA v Council of the European Communities. # Dumping - Definitive duty - Calcium metal. # Case C-358/89.,61989CJ0358(01),,,,,ECLI:EU:C:1992:257,"External relations, Commercial policy, Dumping",,6/11/1992,Court of Justice,,European Court Reports 1992 I-03813
Summary of the Judgment,61991CJ0090_SUM,,,,,,,,6/11/1992,Court of Justice,,
Summary of the Judgment,61991CJ0149_SUM,,,,,,,,6/11/1992,Court of Justice,,
Summary of the Judgment,61989CJ0358(01)_SUM,,,,,,,,6/11/1992,Court of Justice,,
"Judgment of the Court (Fifth Chamber) of 11 June 1992. # Office national des pensions v Emilio Di Crescenzo and Angela Casagrande, widow of Romeo Barel. # References for a preliminary ruling: Cour du travail de Liège - Belgium. # Old-age and survivors' pensions - Calculation of benefits - National and Community rules against overlapping. # Joined cases C-90/91 and C-91/91.",61991CJ0090,,,,,ECLI:EU:C:1992:258,Social security for migrant workers,,6/11/1992,Court of Justice,,European Court Reports 1992 I-03851
Judgment of the Court (Sixth Chamber) of 11 June 1992. # Sanders Adour SNC and Guyomarc'h Orthez Nutrition Animale SA v Directeur des Services Fiscaux des Pyrenées-Atlantiques. # References for a preliminary ruling: Tribunal de grande instance de Pau - France. # Parafiscal charge on cereals. # Joined cases C-149/91 and C-150/91.,61991CJ0149,,,,,ECLI:EU:C:1992:261,"State aids, Cereals, Quantitative restrictions, Measures having equivalent effect, Free movement of goods, Internal taxation, Competition, Taxation, Agriculture and Fisheries",,6/11/1992,Court of Justice,,European Court Reports 1992 I-03899
"Judgment of the Court of 9 June 1992. # Simba SpA and others v Ministero delle finanze. # References for a preliminary ruling: Pretura di Savona, Pretura di La Spezia and Pretura di Salerno - Italy. # National tax on bananas - Levied only on products imported directly from non-member States - Possible incompatibility with Community law. # Joined cases C-228/90 to C-234/90, C-339/90 and C-353/90.",61990CJ0228,,,,,ECLI:EU:C:1992:251,"Common customs tariff, Customs Union, Commercial policy, External relations, Free movement of goods, Internal taxation, Taxation, Charges having an equivalent effect",,6/9/1992,Court of Justice,,European Court Reports 1992 I-03713
Summary of the Judgment,61990CJ0228_SUM,,,,,,,,6/9/1992,Court of Justice,,
Judgment of the Court of 9 June 1992. # Jean Lestelle v Commission of the European Communities. # Appeal - Official - Pensions - Termination of service allowance - Compulsory or optional nature of the pension scheme contribution. # Case C-30/91 P.,61991CJ0030,,,,,ECLI:EU:C:1992:252,Staff regulations and employment conditions - EC,,6/9/1992,Court of Justice,,European Court Reports 1992 I-03755
Judgment of the Court of 9 June 1992. # Établissements Delhaize frères and Compagnie Le Lion SA v Promalvin SA and AGE Bodegas Unidas SA. # Reference for a preliminary ruling: Tribunal de commerce de Bruxelles - Belgium. # Exportation of wine in bulk - Prohibition - Wine of designated origin - Articles 34 and 36 of the Treaty. # Case C-47/90.,61990CJ0047,,,,,ECLI:EU:C:1992:250,"Free movement of goods, Agriculture and Fisheries, Wine, Intellectual, industrial and commercial property, Measures having equivalent effect, Quantitative restrictions",,6/9/1992,Court of Justice,,European Court Reports 1992 I-03669
Summary of the Judgment,61991CJ0096_SUM,,,,,,,,6/9/1992,Court of Justice,,
Summary of the Judgment,61990CJ0047_SUM,,,,,,,,6/9/1992,Court of Justice,,
Summary of the Judgment,61991CJ0030_SUM,,,,,,,,6/9/1992,Court of Justice,,
Judgment of the Court of 9 June 1992. # Commission of the European Communities v Kingdom of Spain. # Exemption from and remission of turnover tax in international travel. # Case C-96/91.,61991CJ0096,,,,,ECLI:EU:C:1992:253,"Value added tax, Taxation",,6/9/1992,Court of Justice,,European Court Reports 1992 I-03789
Judgment of the Court (Sixth Chamber) of 4 June 1992. # Arbeiterwohlfahrt der Stadt Berlin e.V. v Monika Bötel. # Reference for a preliminary ruling: Landesarbeitsgericht Berlin - Germany. # Equal pay - Compensation for training courses attended by part-time employees who are members of staff councils. # Case C-360/90.,61990CJ0360,,,,,ECLI:EU:C:1992:246,Social Policy,,6/4/1992,Court of Justice,,European Court Reports 1992 I-03589
Judgment of the Court (Fifth Chamber) of 4 June 1992. # Criminal proceedings against Michel Debus. # References for a preliminary ruling: Pretura circondariale di Pordenone and Pretura circondariale di Vigevano - Italy. # Measure having equivalent effect - Beer - Sulphur dioxide. # Joined cases C-13/91 and C-113/91.,61991CJ0013,,,,,ECLI:EU:C:1992:247,"Measures having equivalent effect, Quantitative restrictions, Free movement of goods",,6/4/1992,Court of Justice,,European Court Reports 1992 I-03617
Summary of the Judgment,61991CJ0013_SUM,,,,,,,,6/4/1992,Court of Justice,,
Judgment of the Court (Second Chamber) of 4 June 1992. # Consorgan - Gestão de Empresas Ldª v Commission of the European Communities. # European Social Fund - Application for annulment of a reduction in financial assistance originally granted. # Case C-181/90.,61990CJ0181,,,,,ECLI:EU:C:1992:244,European Social Fund (ESF),,6/4/1992,Court of Justice,,European Court Reports 1992 I-03557
Summary of the Judgment,61990CJ0157_SUM,,,,,,,,6/4/1992,Court of Justice,,
Summary of the Judgment,61990CJ0360_SUM,,,,,,,,6/4/1992,Court of Justice,,
Summary of the Judgment,61991CJ0021_SUM,,,,,,,,6/4/1992,Court of Justice,,
Summary of the Judgment,61990CJ0181_SUM,,,,,,,,6/4/1992,Court of Justice,,
Summary of the Judgment,61990CJ0189_SUM,,,,,,,,6/4/1992,Court of Justice,,
Judgment of the Court (Second Chamber) of 4 June 1992. # Cipeke - Comércio e Indústria de Papel Ldª v Commission of the European Communities. # European Social Fund - Application for annulment of a reduction in financial assistance originally granted. # Case C-189/90.,61990CJ0189,,,,,ECLI:EU:C:1992:245,European Social Fund (ESF),,6/4/1992,Court of Justice,,European Court Reports 1992 I-03573
Judgment of the Court (Second Chamber) of 4 June 1992. # Infortec - Projectos e Consultadoria Ldª v Commission of the European Communities. # European Social Fund - Application for annulment of a reduction of financial assistance originally granted. # Case C-157/90.,61990CJ0157,,,,,ECLI:EU:C:1992:243,European Social Fund (ESF),,6/4/1992,Court of Justice,,European Court Reports 1992 I-03525
Judgment of the Court (Sixth Chamber) of 4 June 1992. # Wünsche Handelsgesellschaft International GmbH & Co. KG v Hauptzollamt Hamburg-Jonas. # Reference for a preliminary ruling: Finanzgericht Hamburg - Germany. # Customs value - Financing arrangement. # Case C-21/91.,61991CJ0021,,,,,ECLI:EU:C:1992:248,"Value for customs purposes, Free movement of goods, Customs Union",,6/4/1992,Court of Justice,,European Court Reports 1992 I-03647
Judgment of the Court (Fourth Chamber) of 3 June 1992. # Parma Handelsgesellschaft mbH v Hauptzollamt Bad Reichenhall. # Reference for a preliminary ruling: Finanzgericht München - Germany. # Morello cherries in syrup - Definition. # Case C-246/90.,61990CJ0246,,,,,ECLI:EU:C:1992:238,"Protective measures, Agriculture and Fisheries, Free movement of goods, Common customs tariff, Commercial policy, Fruit and vegetables, External relations, Customs Union",,6/3/1992,Court of Justice,,European Court Reports 1992 I-03467
Summary of the Judgment,61989CJ0360_SUM,,,,,,,,6/3/1992,Court of Justice,,
Summary of the Judgment,61991CJ0287_SUM,,,,,,,,6/3/1992,Court of Justice,,
Summary of the Judgment,61990CJ0045_SUM,,,,,,,,6/3/1992,Court of Justice,,
Summary of the Judgment,61990CJ0246_SUM,,,,,,,,6/3/1992,Court of Justice,,
Summary of the Judgment,61990CJ0318_SUM,,,,,,,,6/3/1992,Court of Justice,,
Judgment of the Court of 3 June 1992. # Commission of the European Communities v Italian Republic. # Freedom to provide services - Award of public works contracts. # Case C-360/89.,61989CJ0360,,,,,ECLI:EU:C:1992:235,"Right of establishment, Freedom to provide services, Approximation of laws",,6/3/1992,Court of Justice,,European Court Reports 1992 I-03401
Judgment of the Court of 3 June 1992. # Alberto Paletta and others v Brennet AG. # Reference for a preliminary ruling: Arbeitsgericht Lörrach - Germany. # Social security - Recognition of incapacity for work. # Case C-45/90.,61990CJ0045,,,,,ECLI:EU:C:1992:236,Social security for migrant workers,,6/3/1992,Court of Justice,,European Court Reports 1992 I-03423
Judgment of the Court of 3 June 1992. # Commission of the European Communities v Italian Republic. # Failure by a Member State to fulfil its obligations - Delays in the refund of VAT to taxable persons not established in the territory of the country. # Case C-287/91.,61991CJ0287,,,,,ECLI:EU:C:1992:242,"Value added tax, Taxation",,6/3/1992,Court of Justice,,European Court Reports 1992 I-03515
Judgment of the Court (Fourth Chamber) of 3 June 1992. # Hauptzollamt Mannheim v Boehringer Mannheim GmbH. # Reference for a preliminary ruling: Bundesfinanzhof - Germany. # Common Customs Tariff - Unsterile calf foetus serum. # Case C-318/90.,61990CJ0318,,,,,ECLI:EU:C:1992:239,"Customs Union, Free movement of goods, Common customs tariff",,6/3/1992,Court of Justice,,European Court Reports 1992 I-03495
Judgment of the Court of 20 May 1992. # Commission of the European Communities v Kingdom of the Netherlands. # Failure to fulfil obligations - EEC Directive - National legislation not in conformity therewith. # Case C-190/90.,61990CJ0190,,,,,ECLI:EU:C:1992:225,"Environment, Social Policy",,5/20/1992,Court of Justice,,European Court Reports 1992 I-03265
"Judgment of the Court of 20 May 1992. # Commission of the European Communities v Federal Republic of Germany. # Interpretation of Articles 30 and 36 of the EEC Treaty - Eye lotions - Concept of \medicinal product\"" - Cosmetic products. # Case C-290/90.""",61990CJ0290,,,,,ECLI:EU:C:1992:227,"Quantitative restrictions, Approximation of laws, Measures having equivalent effect, Free movement of goods",,5/20/1992,Court of Justice,,European Court Reports 1992 I-03317
Summary of the Judgment,61990CJ0290_SUM,,,,,,,,5/20/1992,Court of Justice,,
Summary of the Judgment,61991CJ0106_SUM,,,,,,,,5/20/1992,Court of Justice,,
Summary of the Judgment,61990CJ0190_SUM,,,,,,,,5/20/1992,Court of Justice,,
Summary of the Judgment,61989CJ0385_SUM,,,,,,,,5/20/1992,Court of Justice,,
"Judgment of the Court (Sixth Chamber) of 20 May 1992. # Claus Ramrath v Ministre de la Justice, and l'Institut des réviseurs d'entreprises. # Reference for a preliminary ruling: Conseil d'Etat - Grand Duchy of Luxemburg. # Auditors - Requirement of a professional establishment within a Member State. # Case C-106/91.",61991CJ0106,,,,,ECLI:EU:C:1992:230,"Freedom to provide services, Free movement of workers, Right of establishment",,5/20/1992,Court of Justice,,European Court Reports 1992 I-03351
Judgment of the Court of 20 May 1992. # Hellenic Republic v Commission of the European Communities. # Clearance of EAGGF accounts - Expenditure for 1987. # Case C-385/89.,61989CJ0385,,,,,ECLI:EU:C:1992:223,"Tobacco, Agriculture and Fisheries, European Agricultural Guidance and Guarantee Fund (EAGGF), Cereals",,5/20/1992,Court of Justice,,European Court Reports 1992 I-03225
Judgment of the Court of 19 May 1992. # Dr. Sophie Redmond Stichting v Hendrikus Bartol and others. # Reference for a preliminary ruling: Kantonrecht Groningen - Netherlands. # Safeguarding of employees' rights in the event of the transfer of an undertaking. # Case C-29/91.,61991CJ0029,,,,,ECLI:EU:C:1992:220,Social Policy,,5/19/1992,Court of Justice,,European Court Reports 1992 I-03189
Judgment of the Court of 19 May 1992. # Commission of the European Communities v Federal Republic of Germany. # Failure of a Member State to fulfil its obligations - Transport - Tax on the use of roads by heavy goods vehicles. # Case C-195/90.,61990CJ0195,,,,,ECLI:EU:C:1992:219,"Taxation, Transport, Environment",,5/19/1992,Court of Justice,,European Court Reports 1992 I-03141
Judgment of the Court of 19 May 1992. # J. M. Mulder and others and Otto Heinemann v Council of the European Communities and Commission of the European Communities. # Additional levy on milk - Non-contractual liability. # Joined cases C-104/89 and C-37/90.,61989CJ0104,,,,,ECLI:EU:C:1992:217,"Milk products, Agriculture and Fisheries, Non-contractual liability",,5/19/1992,Court of Justice,,European Court Reports 1992 I-03061
Summary of the Judgment,61989CJ0104_SUM,,,,,,,,5/19/1992,Court of Justice,,
Summary of the Judgment,61991CJ0029_SUM,,,,,,,,5/19/1992,Court of Justice,,
Summary of the Judgment,61990CJ0195_SUM,,,,,,,,5/19/1992,Court of Justice,,
Summary of the Judgment,61990CJ0327_SUM,,,,,,,,5/12/1992,Court of Justice,,
Judgment of the Court of 12 May 1992. # Commission of the European Communities v Hellenic Republic. # Failure to fulfil obligations - Article 95 - Imports of cars - Different basis of assessment. # Case C-327/90.,61990CJ0327,,,,,ECLI:EU:C:1992:206,"Internal taxation, Taxation",,5/12/1992,Court of Justice,,European Court Reports 1992 I-03033
"Judgment of the Court (Sixth Chamber) of 7 May 1992. # Aldo Bozzi v Cassa Nazionale di Previdenza ed Assistenza a favore degli Avvocati e dei Procuratori legali. # Reference for a preliminary ruling: Pretura di Milano, Sezione Lavoro - Italy. # Interpretation of Article 33 of the Sixth VAT Directive. # Case C-347/90.",61990CJ0347,,,,,ECLI:EU:C:1992:200,"Value added tax, Taxation",,5/7/1992,Court of Justice,,European Court Reports 1992 I-02947
Judgment of the Court (Second Chamber) of 7 May 1992. # Pesquerias De Bermeo SA and Naviera Laida SA v Commission of the European Communities. # Fisheries - Projects for exploratory fishing voyages - Commission decision finding that a project does not fulfil the conditions for the grant of Community financial aid under Council Regulation (EEC) Nº 4028/86. # Joined cases C-258/90 and C-259/90.,61990CJ0258,,,,,ECLI:EU:C:1992:199,"Agriculture and Fisheries, Fisheries policy",,5/7/1992,Court of Justice,,European Court Reports 1992 I-02901
Judgment of the Court (Sixth Chamber) of 7 May 1992. # Colegio Oficial de Agentes de la Propriedad Inmobiliaria v José Luis Aguirre Borrell and others. # Reference for a preliminary ruling: Juzgado de Instrucción n. 20 de Madrid - Spain. # Freedom of establishment - Recognition of diplomas - Estate agents. # Case C-104/91.,61991CJ0104,,,,,ECLI:EU:C:1992:202,"Freedom to provide services, Right of establishment",,5/7/1992,Court of Justice,,European Court Reports 1992 I-03003
Summary of the Judgment,61991CJ0070_SUM,,,,,,,,5/7/1992,Court of Justice,,
Summary of the Judgment,61990CJ0251_SUM,,,,,,,,5/7/1992,Court of Justice,,
Summary of the Judgment,61990CJ0347_SUM,,,,,,,,5/7/1992,Court of Justice,,
Summary of the Judgment,61991CJ0104_SUM,,,,,,,,5/7/1992,Court of Justice,,
"Judgment of the Court (Sixth Chamber) of 7 May 1992. # Procurator fiscal, Elgin v Kenneth Gordon Wood and James Cowie. # References for a preliminary ruling: Sheriff Court of Grampian, Highland and Islands at Elgin (Scotland) - United Kingdom. # Fisheries - Licences - Conditions. # Joined cases C-251/90 and C-252/90.",61990CJ0251,,,,,ECLI:EU:C:1992:198,"Fisheries policy, Agriculture and Fisheries",,5/7/1992,Court of Justice,,European Court Reports 1992 I-02873
Summary of the Judgment,61990CJ0258_SUM,,,,,,,,5/7/1992,Court of Justice,,
"Judgment of the Court of 7 May 1992. # Council of the European Communities v Anita Brems. # Officials - Meaning of \dependent child\"" - Persons treated as such - Child of the official - Illegality of general implementing rules. # Case C-70/91 P.""",61991CJ0070,,,,,ECLI:EU:C:1992:201,Staff regulations and employment conditions - EC,,5/7/1992,Court of Justice,,European Court Reports 1992 I-02973
Summary of the Judgment,61991CJ0020_SUM,,,,,,,,5/6/1992,Court of Justice,,
Judgment of the Court (Third Chamber) of 6 May 1992. # Pieter de Jong v Staatssecretaris van Financiën. # Reference for a preliminary ruling: Hoge Raad - Netherlands. # VAT assessment - Sixth VAT Directive. # Case C-20/91.,61991CJ0020,,,,,ECLI:EU:C:1992:192,"Value added tax, Taxation",,5/6/1992,Court of Justice,,European Court Reports 1992 I-02847
Summary of the Judgment,61991CJ0062_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61990CJ0371_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61990CJ0209_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61991CJ0094_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61990CJ0256_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61990CJ0055_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61990CJ0346_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61990CJ0062_SUM,,,,,,,,4/8/1992,Court of Justice,,
Summary of the Judgment,61991CJ0166_SUM,,,,,,,,4/8/1992,Court of Justice,,
Judgment of the Court of 8 April 1992. # Commission of the European Communities v Federal Republic of Germany. # Free movement of goods - Derogations - Protection of public health - Importation of medicinal products y private individuals - Limits. # Case C-62/90.,61990CJ0062,,,,,ECLI:EU:C:1992:169,"Free movement of goods, Measures having equivalent effect, Quantitative restrictions",,4/8/1992,Court of Justice,,European Court Reports 1992 I-02575
Judgment of the Court (Third Chamber) of 8 April 1992. # Gordon Sinclair Gray v Adjudication Officer. # Reference for a preliminary ruling: Bognor Regis Social Security Appeal Tribunal - United Kingdom. # Social security - Unemployment benefits. # Case C-62/91.,61991CJ0062,,,,,ECLI:EU:C:1992:177,Social security for migrant workers,,4/8/1992,Court of Justice,,European Court Reports 1992 I-02737
Judgment of the Court of 8 April 1992. # James Joseph Cato v Commission of the European Communities. # Non-contractual liability - Common fisheries policy - Non-payment of a final cessation premium in respect of a fishing vessel. # Case C-55/90.,61990CJ0055,,,,,ECLI:EU:C:1992:168,"Non-contractual liability, Fisheries policy, Agriculture and Fisheries",,4/8/1992,Court of Justice,,European Court Reports 1992 I-02533
Judgment of the Court (Fourth Chamber) of 8 April 1992. # Hans-Otto Wagner GmbH v Fonds d'intervention et de Régularisation du Marché du Sucre. # Reference for a preliminary ruling: Tribunal administratif de Paris - France. # Calculation of export refunds. # Case C-94/91.,61991CJ0094,,,,,ECLI:EU:C:1992:181,"Monetary measures in the field of agriculture, Agriculture and Fisheries, Sugar",,4/8/1992,Court of Justice,,European Court Reports 1992 I-02765
Judgment of the Court (Third Chamber) of 8 April 1992. # Commission of the European Communities v Walter Feilhauer. # Arbitration clause - Non-performance of a contract. # Case C-209/90.,61990CJ0209,,,,,ECLI:EU:C:1992:172,"public procurement in the European Union, Energy",,4/8/1992,Court of Justice,,European Court Reports 1992 I-02613
Judgment of the Court (Fourth Chamber) of 8 April 1992. # F. v Commission of the European Communities. # Appeal - Officials - Compensation for accidents and occupational diseases - Invalidity pension(s) - Response seeking to have the decision of the Court of First Instance set aside in part. # Case C-346/90 P.,61990CJ0346,,,,,ECLI:EU:C:1992:174,Staff regulations and employment conditions - EC,,4/8/1992,Court of Justice,,European Court Reports 1992 I-02691
Judgment of the Court (Fifth Chamber) of 8 April 1992. # Mignini SpA v Azienda di Stato per gli interventi sul mercato agricolo (AIMA). # Reference for a preliminary ruling: Pretore di Perugia - Italy. # System of aid for the production of soya. # Case C-256/90.,61990CJ0256,,,,,ECLI:EU:C:1992:173,"Agriculture and Fisheries, Oils and fats",,4/8/1992,Court of Justice,,European Court Reports 1992 I-02651
Judgment of the Court (Fourth Chamber) of 8 April 1992. # Gerhard Bauer v Conseil National de l'Ordre des Architectes. # Reference for a preliminary ruling: Conseil d'appel d'expression française de l'ordre des architectes - Belgium. # Recognition of evidence of formal qualifications in architecture. # Case C-166/91.,61991CJ0166,,,,,ECLI:EU:C:1992:184,"Free movement of workers, Right of establishment, Freedom to provide services",,4/8/1992,Court of Justice,,European Court Reports 1992 I-02797
Judgment of the Court (Third Chamber) of 8 April 1992. # Beirafrio - Indùstria de Produtos Alimentares Ldª v Chefe do Serviço da Conferência final da Alfandega do Porto. # Reference for a preliminary ruling: Tribunal Fiscal Aduaneiro do Porto - Portugal. # Post-clearance recovery of customs duties. # Case C-371/90.,61990CJ0371,,,,,ECLI:EU:C:1992:175,"Free movement of goods, Customs Union",,4/8/1992,Court of Justice,,European Court Reports 1992 I-02715
Judgment of the Court of 7 April 1992. # Commission of the European Communities v Hellenic Republic. # Failure of a Member State to fulfil its obligations - Directive - Toxic and dangerous waste. # Case C-45/91.,61991CJ0045,,,,,ECLI:EU:C:1992:164,"Environment, Waste, Approximation of laws",,4/7/1992,Court of Justice,,European Court Reports 1992 I-02509
Summary of the Judgment,61990CJ0061_SUM,,,,,,,,4/7/1992,Court of Justice,,
Summary of the Judgment,61990CJ0358_SUM,,,,,,,,4/7/1992,Court of Justice,,
Summary of the Judgment,61991CJ0045_SUM,,,,,,,,4/7/1992,Court of Justice,,
Judgment of the Court of 7 April 1992. # Commission of the European Communities v Hellenic Republic. # Market in cereals - Regulation (EEC) Nº 2727/75 - Articles 93 (3) and 5 of the EEC Treaty. # Case C-61/90.,61990CJ0061,,,,,ECLI:EU:C:1992:162,"Agriculture and Fisheries, Cereals",,4/7/1992,Court of Justice,,European Court Reports 1992 I-02407
Judgment of the Court (Sixth Chamber) of 7 April 1992. # Compagnia Italiana Alcool Sas di Mario Mariano & Co. v Commission of the European Communities. # Vinous alcohol - Special sale by tender - Decision n ot to take action on the tenders received - Guarantee conditions - Non-contractual liability. # Case C-358/90.,61990CJ0358,,,,,ECLI:EU:C:1992:163,"Agriculture and Fisheries, Wine",,4/7/1992,Court of Justice,,European Court Reports 1992 I-02457
Summary of the Judgment,61990CJ0378_SUM,,,,,,,,4/2/1992,Court of Justice,,
